index,dataset,prompt,iou,dice,precision,recall,gt_coverage
158,drywall,segment taping area,0.874791,0.933214,0.979480,0.891123,15.33
283,drywall,segment taping area,0.874915,0.933285,0.950033,0.917118,15.50
52,cracks,segment crack,0.875181,0.933437,0.958641,0.909523,7.29
279,drywall,segment taping area,0.877949,0.935008,0.924048,0.946231,8.27
60,drywall,segment taping area,0.881293,0.936901,0.893803,0.984367,9.73
128,drywall,segment taping area,0.882825,0.937767,0.986770,0.893400,57.86
21,drywall,segment taping area,0.884738,0.938845,0.982208,0.899148,21.15
41,drywall,segment taping area,0.887015,0.940125,0.936472,0.943807,33.81
10,drywall,segment taping area,0.888041,0.940701,0.916361,0.966369,9.02
231,drywall,segment taping area,0.888356,0.940878,0.962523,0.920185,15.59
291,drywall,segment taping area,0.889257,0.941383,0.898185,0.988945,32.24
50,drywall,segment taping area,0.889775,0.941673,0.981629,0.904842,12.20
86,drywall,segment taping area,0.890143,0.941879,0.918781,0.966169,11.47
220,drywall,segment taping area,0.890447,0.942049,0.955457,0.929012,20.21
237,drywall,segment taping area,0.892819,0.943375,0.917757,0.970465,10.27
309,drywall,segment taping area,0.893386,0.943691,0.969906,0.918856,11.80
255,drywall,segment taping area,0.893482,0.943745,0.933763,0.953942,54.37
132,drywall,segment taping area,0.893682,0.943857,0.922745,0.965957,21.86
173,drywall,segment taping area,0.895167,0.944684,0.937920,0.951546,8.27
96,drywall,segment taping area,0.896727,0.945552,0.927873,0.963917,19.62
384,drywall,segment taping area,0.897322,0.945883,0.911785,0.982630,10.27
247,drywall,segment taping area,0.899238,0.946946,0.953465,0.940515,31.11
170,drywall,segment taping area,0.901318,0.948098,0.977725,0.920214,25.05
351,drywall,segment taping area,0.901610,0.948260,0.951470,0.945071,16.23
155,drywall,segment taping area,0.902896,0.948971,0.931055,0.967590,15.30
273,drywall,segment taping area,0.903379,0.949237,0.944666,0.953853,22.39
156,drywall,segment taping area,0.904588,0.949904,0.965365,0.934931,12.23
235,drywall,segment taping area,0.905218,0.950251,0.921681,0.980650,22.48
294,drywall,segment taping area,0.907809,0.951677,0.962996,0.940620,12.01
0,drywall,segment taping area,0.908306,0.951950,0.980931,0.924632,10.13
14,drywall,segment taping area,0.908788,0.952215,0.972679,0.932595,12.23
337,drywall,segment taping area,0.908913,0.952283,0.950980,0.953590,12.01
31,drywall,segment taping area,0.910509,0.953159,0.955351,0.950976,13.38
335,drywall,segment taping area,0.911351,0.953620,0.933884,0.974208,15.22
385,drywall,segment taping area,0.913627,0.954864,0.992281,0.920167,47.03
395,drywall,segment taping area,0.916182,0.956258,0.976427,0.936905,16.61
151,drywall,segment taping area,0.918627,0.957588,0.954889,0.960302,18.26
66,drywall,segment taping area,0.921764,0.959290,0.968842,0.949924,25.07
35,drywall,segment taping area,0.933067,0.965375,0.959055,0.971779,30.84
