index,dataset,prompt,iou,dice,precision,recall,gt_coverage
326,drywall,segment taping area,0.750891,0.857725,0.755987,0.991104,3.32
277,drywall,segment taping area,0.751126,0.857878,0.972293,0.767555,5.57
175,cracks,segment crack,0.751172,0.857908,0.927121,0.798311,15.93
396,drywall,segment taping area,0.752901,0.859034,0.768995,0.972954,10.70
190,drywall,segment taping area,0.753446,0.859389,0.880615,0.839163,8.92
121,drywall,segment taping area,0.754412,0.860017,0.810897,0.915472,8.38
286,cracks,segment crack,0.754712,0.860212,0.812295,0.914135,1.39
283,drywall,segment taping area,0.756044,0.861076,0.982555,0.766331,15.50
75,drywall,segment taping area,0.756812,0.861574,0.910609,0.817551,1.76
269,drywall,segment taping area,0.759017,0.863001,0.792073,0.947882,19.70
181,drywall,segment taping area,0.759145,0.863084,0.813220,0.919463,5.47
229,cracks,segment crack,0.759431,0.863269,0.967395,0.779380,2.84
93,drywall,segment taping area,0.760332,0.863851,0.846236,0.882214,11.18
104,drywall,segment taping area,0.760912,0.864225,0.844310,0.885102,4.77
103,drywall,segment taping area,0.763369,0.865808,0.772785,0.984290,6.79
236,drywall,segment taping area,0.763507,0.865896,0.816600,0.921526,25.07
77,drywall,segment taping area,0.763946,0.866179,0.765922,0.996636,10.89
62,cracks,segment crack,0.763980,0.866200,0.950927,0.795336,10.12
196,cracks,segment crack,0.764067,0.866256,0.860241,0.872355,18.33
243,drywall,segment taping area,0.765304,0.867051,0.767065,0.997009,19.67
111,drywall,segment taping area,0.765894,0.867429,0.785908,0.967820,42.49
340,drywall,segment taping area,0.768021,0.868791,0.945457,0.803627,3.80
203,cracks,segment crack,0.768475,0.869082,0.825897,0.917033,13.98
12,drywall,segment taping area,0.769289,0.869602,0.919591,0.824768,18.33
246,drywall,segment taping area,0.770900,0.870631,0.791880,0.966774,8.60
249,drywall,segment taping area,0.772131,0.871415,0.850170,0.893749,4.77
188,drywall,segment taping area,0.772592,0.871709,0.793182,0.967492,4.57
244,cracks,segment crack,0.773819,0.872489,0.807435,0.948946,0.96
226,drywall,segment taping area,0.776563,0.874231,0.879310,0.869210,28.48
91,drywall,segment taping area,0.777844,0.875042,0.792116,0.977360,16.08
171,drywall,segment taping area,0.782785,0.878160,0.812976,0.954707,5.07
290,cracks,segment crack,0.783203,0.878423,0.798631,0.975928,6.25
157,drywall,segment taping area,0.783234,0.878442,0.783488,0.999585,23.55
167,drywall,segment taping area,0.783790,0.878792,0.898175,0.860227,9.26
205,cracks,segment crack,0.786452,0.880463,0.793957,0.988123,5.08
90,cracks,segment crack,0.787851,0.881339,0.892766,0.870200,7.57
397,drywall,segment taping area,0.790185,0.882797,0.812807,0.965976,10.12
310,cracks,segment crack,0.790573,0.883039,0.855121,0.912842,30.28
129,drywall,segment taping area,0.791155,0.883402,0.987043,0.799458,58.88
305,drywall,segment taping area,0.791254,0.883464,0.915706,0.853416,26.46
110,drywall,segment taping area,0.791514,0.883626,0.851123,0.918709,12.31
324,drywall,segment taping area,0.791645,0.883707,0.822077,0.955328,7.02
343,drywall,segment taping area,0.792215,0.884062,0.998615,0.793086,8.21
361,drywall,segment taping area,0.798847,0.888177,0.811744,0.980500,25.47
291,drywall,segment taping area,0.799203,0.888396,0.803001,0.994117,32.24
219,drywall,segment taping area,0.800550,0.889228,0.910765,0.868687,16.28
189,drywall,segment taping area,0.800965,0.889484,0.871513,0.908212,26.10
308,drywall,segment taping area,0.802724,0.890568,0.848991,0.936426,57.28
37,drywall,segment taping area,0.802788,0.890607,0.997148,0.804635,11.78
215,cracks,segment crack,0.804422,0.891612,0.812298,0.988090,2.05
132,drywall,segment taping area,0.805053,0.891999,0.987179,0.813559,21.86
23,drywall,segment taping area,0.805358,0.892186,0.981760,0.817591,21.86
2,drywall,segment taping area,0.806662,0.892986,0.893403,0.892570,8.38
263,cracks,segment crack,0.807132,0.893274,0.813392,0.990555,5.14
371,drywall,segment taping area,0.807502,0.893501,0.892687,0.894316,3.48
367,drywall,segment taping area,0.809430,0.894679,0.952284,0.843646,21.43
278,drywall,segment taping area,0.811924,0.896201,0.873694,0.919898,3.93
160,drywall,segment taping area,0.814737,0.897912,0.847372,0.954864,43.07
166,cracks,segment crack,0.815097,0.898130,0.907554,0.888900,7.39
158,drywall,segment taping area,0.816232,0.898819,0.914994,0.883206,15.33
344,cracks,segment crack,0.817010,0.899291,0.830444,0.980585,5.32
350,drywall,segment taping area,0.817446,0.899555,0.991434,0.823261,4.70
393,drywall,segment taping area,0.818199,0.900010,0.981857,0.830759,2.56
135,drywall,segment taping area,0.819544,0.900823,0.867282,0.937063,36.18
356,drywall,segment taping area,0.820947,0.901671,0.865774,0.940672,19.62
258,cracks,segment crack,0.821970,0.902287,0.912811,0.892003,2.61
