index,dataset,prompt,iou,dice,precision,recall,gt_coverage
396,drywall,segment taping area,0.856301,0.922589,0.869998,0.981947,10.70
386,drywall,segment taping area,0.856937,0.922957,0.907391,0.939067,46.19
323,drywall,segment taping area,0.857172,0.923094,0.938561,0.908128,8.00
190,drywall,segment taping area,0.859241,0.924292,0.966939,0.885249,8.92
40,drywall,segment taping area,0.859482,0.924431,0.942700,0.906858,2.81
384,drywall,segment taping area,0.859727,0.924573,0.975620,0.878603,10.27
1,drywall,segment taping area,0.859800,0.924616,0.928791,0.920478,51.97
308,drywall,segment taping area,0.860378,0.924949,0.876156,0.979498,57.28
207,drywall,segment taping area,0.861237,0.925446,0.869038,0.989684,14.53
0,drywall,segment taping area,0.863848,0.926951,0.983850,0.876274,10.13
143,drywall,segment taping area,0.864859,0.927533,0.894373,0.963247,3.27
23,drywall,segment taping area,0.867784,0.929213,0.874723,0.990942,21.86
91,drywall,segment taping area,0.867838,0.929243,0.885405,0.977648,16.08
5,drywall,segment taping area,0.868309,0.929514,0.977296,0.886185,26.28
197,drywall,segment taping area,0.868368,0.929547,0.991048,0.875233,10.87
283,drywall,segment taping area,0.868372,0.929549,0.942605,0.916850,15.50
62,cracks,segment crack,0.869535,0.930215,0.962287,0.900212,10.12
166,cracks,segment crack,0.869618,0.930262,0.885567,0.979710,7.39
241,drywall,segment taping area,0.870136,0.930559,0.889863,0.975156,18.83
367,drywall,segment taping area,0.871105,0.931113,0.944249,0.918337,21.43
305,drywall,segment taping area,0.871632,0.931414,0.906948,0.957237,26.46
158,drywall,segment taping area,0.871805,0.931513,0.975223,0.891553,15.33
33,cracks,segment crack,0.871985,0.931615,0.901123,0.964244,4.17
60,drywall,segment taping area,0.872158,0.931714,0.902760,0.962587,9.73
160,drywall,segment taping area,0.873724,0.932607,0.918356,0.947307,43.07
312,drywall,segment taping area,0.874175,0.932864,0.926816,0.938991,10.30
29,drywall,segment taping area,0.875889,0.933839,0.922136,0.945842,4.01
156,drywall,segment taping area,0.877650,0.934839,0.995735,0.880962,12.23
231,drywall,segment taping area,0.878679,0.935422,0.905274,0.967648,15.59
112,drywall,segment taping area,0.878798,0.935490,0.942256,0.928820,40.59
108,drywall,segment taping area,0.879272,0.935758,0.971567,0.902495,31.67
63,drywall,segment taping area,0.879399,0.935830,0.891850,0.984373,13.14
10,drywall,segment taping area,0.880951,0.936708,0.903167,0.972835,9.02
132,drywall,segment taping area,0.884086,0.938478,0.901430,0.978701,21.86
294,drywall,segment taping area,0.884752,0.938852,0.994925,0.888762,12.01
32,drywall,segment taping area,0.885476,0.939260,0.896203,0.986663,8.70
355,drywall,segment taping area,0.885968,0.939537,0.898745,0.984207,36.19
382,drywall,segment taping area,0.886132,0.939629,0.905196,0.976785,13.47
51,drywall,segment taping area,0.887328,0.940301,0.890676,0.995782,30.85
335,drywall,segment taping area,0.887390,0.940336,0.955814,0.925351,15.22
395,drywall,segment taping area,0.888088,0.940727,0.950832,0.930835,16.61
397,drywall,segment taping area,0.888744,0.941095,0.946095,0.936148,10.12
173,drywall,segment taping area,0.890195,0.941908,0.927472,0.956802,8.27
41,drywall,segment taping area,0.890878,0.942290,0.931310,0.953533,33.81
243,drywall,segment taping area,0.892372,0.943125,0.933286,0.953174,19.67
170,drywall,segment taping area,0.893687,0.943860,0.953903,0.934025,25.05
368,drywall,segment taping area,0.897262,0.945849,0.959469,0.932611,28.26
247,drywall,segment taping area,0.897461,0.945960,0.991197,0.904672,31.11
322,drywall,segment taping area,0.898449,0.946509,0.942472,0.950580,21.96
35,drywall,segment taping area,0.901744,0.948334,0.929120,0.968359,30.84
233,drywall,segment taping area,0.902110,0.948536,0.938937,0.958333,12.48
14,drywall,segment taping area,0.902256,0.948617,0.994071,0.907138,12.23
96,drywall,segment taping area,0.904587,0.949904,0.953170,0.946659,19.62
122,drywall,segment taping area,0.907500,0.951507,0.942468,0.960722,18.00
151,drywall,segment taping area,0.907512,0.951514,0.977751,0.926648,18.26
359,drywall,segment taping area,0.908904,0.952278,0.923283,0.983154,3.94
102,drywall,segment taping area,0.912699,0.954357,0.951188,0.957548,18.00
291,drywall,segment taping area,0.913749,0.954931,0.954952,0.954909,32.24
128,drywall,segment taping area,0.914441,0.955309,0.959741,0.950917,57.86
337,drywall,segment taping area,0.914702,0.955451,0.972823,0.938689,12.01
334,drywall,segment taping area,0.914706,0.955453,0.958238,0.952685,6.66
235,drywall,segment taping area,0.915268,0.955760,0.952073,0.959475,22.48
220,drywall,segment taping area,0.916683,0.956531,0.977237,0.936684,20.21
65,drywall,segment taping area,0.916813,0.956602,0.932073,0.982457,52.91
385,drywall,segment taping area,0.917745,0.957109,0.931052,0.984666,47.03
26,drywall,segment taping area,0.919412,0.958014,0.940219,0.976496,54.53
21,drywall,segment taping area,0.921315,0.959046,0.955404,0.962716,21.15
13,drywall,segment taping area,0.924970,0.961023,0.946883,0.975591,54.53
50,drywall,segment taping area,0.930884,0.964205,0.949961,0.978883,12.20
401,drywall,segment taping area,0.931188,0.964368,0.987654,0.942154,64.14
31,drywall,segment taping area,0.931888,0.964743,0.976989,0.952801,13.38
309,drywall,segment taping area,0.941431,0.969832,0.978378,0.961435,11.80
255,drywall,segment taping area,0.942623,0.970464,0.949873,0.991967,54.37
